 ,RegDatelast_name,first_Name,email,zipcode,city,HomePhone,state,street
 ,12/18/08 16:36,Elizabeth,Miller,,502-741-0000,513 Emery Rd.,Louisville,KY,40206
 ,1/1/09 15:10,Julie,Miller,,925-209-9000,43 Whippoorwill Road,Old Lyme,CT,06371
 ,1/19/09 17:59,William Alexander,Miller,,(603)9032000,229 Main Street,Keene,NH,03431
 ,1/20/09 23:33,Tim,Miller,,8146414000,Juniata College Box 434 1700 Moore Street,Huntingdon,PA,16652
 ,1/21/09 18:19,Shannon,Miller,,703-819-9000,9001 Garnand Dr,Emory,VA,24326
 ,1/21/09 21:58,Elliot,Miller,,971.241.3000,415 West Complex, Oregon State University,Corvallis,OR,97331
 ,1/21/09 22:23,Julian,Miller,,561-234-7000,2501 Black Horse Loop Apt 301C,Lutz,FL,33559
 ,1/21/09 23:38,Jennifer,Miller,,9729009000,6363 St. Charles Ave,New Orleans,LA,70118
 ,1/21/09 23:58,Ashley,Miller,,(208) 819-3000,301 Deer Ridge Rd.Â  83864,Sandpoint,ID,00000
 ,1/22/09 0:38,Geoff,Miller,,617-290-8000,15 Park Drive Apt. 4,Boston,MA,02215
 ,1/22/09 0:59,Casey,Miller,,617-290-8000,115 Rockland St,Dartmouth,MA,02748
 ,1/29/09 9:36,Liz,Miller,,304.206.7000,339 Nacoochee Drive,Rabun Gap,GA,30568
 ,1/30/09 10:52,Sally,Miller,,423-506-1000,401 Gallaher View Apt. 93,Knoxville,TN,37919
 ,1/30/09 14:56,Valencia,Miller,,301-613-1000,x,x,MD,21216
 ,1/31/09 9:59,Alexandra,Miller,,2023166000,4576 Middlebury College,Middlebury,VT,05753
 ,2/1/09 2:36,Stephanie,Miller,,202-468-5000,3636 T St. NW,Washington,DC,20007
 ,2/1/09 16:25,Carrie,Miller,,(240)418-3000,q,q,YK,00000
 ,2/1/09 19:29,Allison,Miller,,718-305-4000,899 Nowhere,Philadelphia,PA,19205
 ,2/1/09 23:35,Alex,Miller,,513-231-3000,HWCC Box 2105,  OWU,Delaware,OH,43015
 ,2/2/09 0:07,Robert,MIller,,7579713000,2234 Monaghan Drive,Tallahassee,FL,32309
 ,2/2/09 0:12,Joseph,Miller,,7579713000,2234 Monaghan Drive,Tallahassee,FL,32309
